,total_matches,total_tournaments,total_finals,total_wins,best_rank,wins_clay,wins_grass,wins_hard
Teixeira M.,6.0,5.0,0.0,1.0,181.0,1.0,0.0,0.0
Tepavac M.,1.0,1.0,0.0,0.0,201.0,0.0,0.0,0.0
Terachi T.,3.0,3.0,0.0,1.0,431.0,0.0,0.0,1.0
Thiem D.,513.0,115.0,28.0,318.0,3.0,153.0,14.0,151.0
Thiem D. ,5.0,1.0,1.0,3.0,5.0,0.0,0.0,3.0
Thomann N.,5.0,5.0,0.0,1.0,206.0,0.0,0.0,1.0
Thompson C.,1.0,1.0,0.0,0.0,2159.0,0.0,0.0,0.0
Thompson J.,279.0,106.0,4.0,130.0,28.0,14.0,27.0,89.0
Thron A.,1.0,1.0,0.0,0.0,1473.0,0.0,0.0,0.0
Tiafoe F.,366.0,97.0,9.0,190.0,10.0,34.0,23.0,133.0
Tien L.,7.0,3.0,0.0,3.0,191.0,0.0,0.0,3.0
Tipsarevic J.,419.0,136.0,10.0,225.0,8.0,46.0,34.0,145.0
Tipsarevic J. ,2.0,1.0,0.0,1.0,39.0,0.0,0.0,1.0
Tirante T.A.,17.0,12.0,0.0,8.0,109.0,7.0,0.0,1.0
Tiurnev E.,1.0,1.0,0.0,0.0,304.0,0.0,0.0,0.0
Tomic B.,329.0,101.0,6.0,166.0,17.0,25.0,33.0,108.0
Topic J.,1.0,1.0,0.0,0.0,605.0,0.0,0.0,0.0
Topo M.,5.0,4.0,0.0,0.0,320.0,0.0,0.0,0.0
Torebko P.,2.0,2.0,0.0,0.0,313.0,0.0,0.0,0.0
Torpegaard M.,4.0,4.0,0.0,1.0,179.0,0.0,0.0,1.0
Travaglia S.,77.0,45.0,1.0,25.0,60.0,10.0,1.0,14.0
Trevisan M.,1.0,1.0,0.0,0.0,462.0,0.0,0.0,0.0
Trinker B.,3.0,3.0,0.0,1.0,371.0,1.0,0.0,0.0
Troicki V.,496.0,132.0,9.0,253.0,12.0,53.0,32.0,168.0
Troicki V. ,2.0,2.0,0.0,1.0,29.0,0.0,0.0,1.0
Trongcharoenchaikul W.,1.0,1.0,0.0,0.0,1217.0,0.0,0.0,0.0
Trujillo G.,2.0,2.0,0.0,1.0,237.0,1.0,0.0,0.0
Trungelliti M.,38.0,21.0,0.0,15.0,121.0,13.0,0.0,2.0
Trusendi W.,1.0,1.0,0.0,0.0,386.0,0.0,0.0,0.0
Tseng C. H.,9.0,8.0,0.0,2.0,108.0,1.0,0.0,1.0
Tseng C.H.,11.0,9.0,0.0,2.0,85.0,0.0,0.0,2.0
Tsitsipas P.,1.0,1.0,0.0,0.0,970.0,0.0,0.0,0.0
Tsitsipas S.,456.0,92.0,28.0,303.0,3.0,106.0,22.0,175.0
Tsitsipas S. ,5.0,2.0,1.0,4.0,6.0,0.0,0.0,4.0
Tsonga J.W.,636.0,103.0,30.0,426.0,5.0,76.0,46.0,304.0
Tu L.,7.0,5.0,0.0,1.0,191.0,0.0,1.0,0.0
Tuksar S.,3.0,3.0,0.0,0.0,166.0,0.0,0.0,0.0
Tursunov D.,365.0,124.0,9.0,190.0,20.0,23.0,31.0,136.0
Tveit E.,1.0,1.0,0.0,0.0,925.0,0.0,0.0,0.0
Tyurnev E.,1.0,1.0,0.0,0.0,548.0,0.0,0.0,0.0
Uchida K.,4.0,4.0,0.0,1.0,163.0,0.0,0.0,1.0
Uchiyama Y.,36.0,23.0,0.0,11.0,86.0,0.0,0.0,11.0
Udomchoke D.,56.0,31.0,0.0,13.0,79.0,0.0,4.0,9.0
Ugo Carabelli C.,13.0,11.0,0.0,4.0,92.0,4.0,0.0,0.0
Ulihrach B.,4.0,3.0,0.0,1.0,199.0,1.0,0.0,0.0
Ungur A.,32.0,23.0,0.0,6.0,79.0,6.0,0.0,0.0
Vacek J.,6.0,5.0,0.0,3.0,245.0,0.0,3.0,0.0
Vacherot V.,4.0,3.0,0.0,0.0,138.0,0.0,0.0,0.0
Vagnozzi S.,8.0,7.0,0.0,2.0,186.0,2.0,0.0,0.0
Vahaly B.,1.0,1.0,0.0,0.0,164.0,0.0,0.0,0.0
Vaisse M.,1.0,1.0,0.0,0.0,309.0,0.0,0.0,0.0
Valent R.,1.0,1.0,0.0,0.0,1088.0,0.0,0.0,0.0
Valkusz M.,4.0,3.0,0.0,1.0,214.0,0.0,0.0,1.0
Van Assche L.,50.0,35.0,0.0,16.0,64.0,8.0,1.0,7.0
Van D. Merwe I.,1.0,1.0,0.0,0.0,118.0,0.0,0.0,0.0
Van De Zandschulp B.,161.0,68.0,1.0,79.0,23.0,19.0,9.0,51.0
Van Der Merwe I.,10.0,5.0,0.0,6.0,129.0,0.0,2.0,4.0
Van Rijthoven T.,19.0,14.0,1.0,10.0,103.0,0.0,8.0,2.0
Van der Dium A.,1.0,1.0,0.0,0.0,995.0,0.0,0.0,0.0
Van der Merwe I.,3.0,2.0,0.0,1.0,285.0,0.0,0.0,1.0
Vanek J.,80.0,52.0,0.0,28.0,81.0,22.0,1.0,5.0
Vanni L.,21.0,16.0,1.0,5.0,100.0,4.0,0.0,1.0
Vardhan V.,1.0,1.0,0.0,0.0,313.0,0.0,0.0,0.0
Varillas J. P.,19.0,14.0,0.0,9.0,92.0,9.0,0.0,0.0
Varillas J.P.,39.0,23.0,0.0,16.0,63.0,12.0,0.0,4.0
Vasilevski A.,1.0,1.0,0.0,0.0,785.0,0.0,0.0,0.0
Vassallo-Arguello M.,101.0,52.0,0.0,39.0,49.0,33.0,2.0,4.0
Vassallo-Arguello M. ,1.0,1.0,0.0,0.0,72.0,0.0,0.0,0.0
Vatutin A.,9.0,7.0,0.0,2.0,138.0,2.0,0.0,0.0
Vavassori A.,19.0,14.0,0.0,8.0,128.0,6.0,0.0,2.0
Vega Hernandez D.,1.0,1.0,0.0,0.0,440.0,0.0,0.0,0.0
Veger F.,1.0,1.0,0.0,0.0,836.0,0.0,0.0,0.0
Veic A.,30.0,16.0,0.0,9.0,127.0,4.0,0.0,5.0
Velotti A.,3.0,3.0,0.0,0.0,676.0,0.0,0.0,0.0
Vemic D.,15.0,11.0,0.0,5.0,178.0,3.0,1.0,1.0
Ventura S.,60.0,35.0,0.0,21.0,68.0,21.0,0.0,0.0
Venus M.,9.0,6.0,0.0,1.0,40.0,0.0,0.0,1.0
Verdasco F.,856.0,199.0,21.0,478.0,7.0,198.0,44.0,236.0
Verdasco F. ,3.0,2.0,0.0,2.0,8.0,0.0,0.0,2.0
Verkerk M.,11.0,10.0,0.0,0.0,316.0,0.0,0.0,0.0
Vesely J.,277.0,112.0,4.0,130.0,36.0,51.0,23.0,56.0
Vicente F.,30.0,21.0,0.0,5.0,87.0,4.0,1.0,0.0
Vicente M.,1.0,1.0,0.0,0.0,188.0,0.0,0.0,0.0
Vico U.,3.0,2.0,0.0,1.0,251.0,0.0,0.0,1.0
Vik R.,51.0,41.0,0.0,17.0,57.0,6.0,1.0,10.0
Vilella Martinez M.,9.0,8.0,0.0,4.0,167.0,1.0,0.0,3.0
Villanueva G.,1.0,1.0,0.0,0.0,279.0,0.0,0.0,0.0
Vinciguerra A.,16.0,10.0,0.0,6.0,153.0,5.0,0.0,1.0
Viola M.,15.0,14.0,0.0,4.0,126.0,2.0,0.0,2.0
Viola Mat.,2.0,2.0,0.0,0.0,148.0,0.0,0.0,0.0
Virtanen O.,10.0,7.0,0.0,3.0,116.0,0.0,1.0,2.0
Vliegen K.,142.0,76.0,1.0,60.0,30.0,19.0,9.0,32.0
Volandri F.,244.0,96.0,5.0,96.0,25.0,88.0,1.0,7.0
Vovk S.,1.0,1.0,0.0,0.0,1216.0,0.0,0.0,0.0
Vrbensky M.,1.0,1.0,0.0,0.0,311.0,0.0,0.0,0.0
Vukic A.,93.0,55.0,1.0,41.0,50.0,4.0,10.0,27.0
Wachiramanowong K.,2.0,1.0,0.0,0.0,523.0,0.0,0.0,0.0
Walter L.,1.0,1.0,0.0,0.0,287.0,0.0,0.0,0.0
Walton A.,14.0,14.0,0.0,3.0,89.0,0.0,2.0,1.0
Wang C.,2.0,2.0,0.0,1.0,553.0,0.0,0.0,1.0
Wang J.,21.0,12.0,0.0,8.0,133.0,2.0,4.0,2.0
Wang Y.,2.0,2.0,0.0,0.0,87.0,0.0,0.0,0.0
Wang Y. Jr,1.0,1.0,0.0,0.0,401.0,0.0,0.0,0.0
Wang Y.Jr.,1.0,1.0,0.0,0.0,484.0,0.0,0.0,0.0
Wang Y.T.,27.0,19.0,0.0,8.0,87.0,0.0,3.0,5.0
Warburg S.,13.0,11.0,0.0,3.0,157.0,0.0,0.0,3.0
Ward A.,4.0,4.0,0.0,0.0,244.0,0.0,0.0,0.0
Ward J.,63.0,33.0,0.0,13.0,102.0,0.0,10.0,3.0
Washington M.,1.0,1.0,0.0,0.0,864.0,0.0,0.0,0.0
Waske A.,48.0,32.0,0.0,16.0,89.0,9.0,2.0,5.0
Watanuki Y.,31.0,20.0,0.0,13.0,79.0,3.0,2.0,8.0
Wawrinka S.,839.0,141.0,30.0,522.0,3.0,176.0,32.0,314.0
Wawrinka S. ,3.0,2.0,0.0,2.0,21.0,0.0,0.0,2.0
Weiner G.,2.0,2.0,0.0,0.0,205.0,0.0,0.0,0.0
Weintraub A.,5.0,5.0,0.0,1.0,196.0,0.0,0.0,1.0
Wessels L.,1.0,1.0,0.0,0.0,347.0,0.0,0.0,0.0
Wessels P.,14.0,9.0,1.0,7.0,103.0,0.0,4.0,3.0
Westerhof B.,1.0,1.0,0.0,0.0,236.0,0.0,0.0,0.0
Whitehouse W.,7.0,5.0,0.0,3.0,331.0,0.0,0.0,3.0
Whittington A.,5.0,5.0,0.0,2.0,190.0,0.0,0.0,2.0
Widom T.,7.0,6.0,0.0,4.0,232.0,0.0,0.0,4.0
Williams R.,23.0,19.0,0.0,5.0,114.0,2.0,0.0,3.0
Willis M.,2.0,2.0,0.0,1.0,772.0,0.0,1.0,0.0
Wilson B.,5.0,4.0,0.0,1.0,279.0,0.0,0.0,1.0
Witten J.,10.0,8.0,0.0,2.0,186.0,0.0,0.0,2.0
Wolf J.J.,97.0,53.0,1.0,45.0,39.0,7.0,3.0,35.0
Wolmarans F.,3.0,1.0,0.0,1.0,261.0,0.0,0.0,1.0
Wong C.,6.0,6.0,0.0,0.0,133.0,0.0,0.0,0.0
Wu D.,24.0,11.0,0.0,4.0,203.0,0.0,0.0,4.0
Wu T.L.,5.0,4.0,0.0,1.0,172.0,0.0,0.0,1.0
Wu Y.,40.0,28.0,1.0,18.0,54.0,3.0,1.0,14.0
Xu J.C.,1.0,1.0,0.0,0.0,594.0,0.0,0.0,0.0
Yang T.H.,4.0,4.0,0.0,0.0,341.0,0.0,0.0,0.0
Yani M.,15.0,13.0,0.0,3.0,151.0,0.0,2.0,1.0
Yevseyev D.,4.0,3.0,0.0,1.0,160.0,1.0,0.0,0.0
Ymer E.,86.0,47.0,0.0,25.0,108.0,11.0,0.0,14.0
Ymer M.,127.0,59.0,1.0,57.0,53.0,12.0,6.0,39.0
Young D.,293.0,84.0,2.0,114.0,40.0,7.0,13.0,94.0
Youzhny A.,1.0,1.0,0.0,0.0,18.0,0.0,0.0,0.0
Youzhny M.,602.0,125.0,15.0,332.0,8.0,84.0,39.0,209.0
Youzhny M. ,4.0,2.0,1.0,3.0,23.0,0.0,0.0,3.0
Yu X.Y.,1.0,1.0,0.0,0.0,515.0,0.0,0.0,0.0
Yuksel A.,1.0,1.0,0.0,0.0,507.0,0.0,0.0,0.0
Zabaleta M.,46.0,25.0,1.0,21.0,63.0,21.0,0.0,0.0
Zampieri C.,3.0,2.0,0.0,1.0,255.0,1.0,0.0,0.0
Zapata Miralles B.,90.0,57.0,0.0,31.0,37.0,25.0,0.0,6.0
Zayed M. S.,1.0,1.0,0.0,0.0,1855.0,0.0,0.0,0.0
Zayid M. S.,1.0,1.0,0.0,0.0,1512.0,0.0,0.0,0.0
Zayid M.S.,1.0,1.0,0.0,0.0,1277.0,0.0,0.0,0.0
Zeballos H.,208.0,86.0,2.0,84.0,40.0,52.0,2.0,30.0
Zeballos H. ,1.0,1.0,0.0,0.0,42.0,0.0,0.0,0.0
Zekic M.,3.0,3.0,0.0,1.0,316.0,1.0,0.0,0.0
Zemlja G.,58.0,34.0,1.0,26.0,49.0,6.0,6.0,14.0
Zeng S.X.,4.0,3.0,0.0,1.0,393.0,0.0,0.0,1.0
Zeppieri G.,19.0,12.0,0.0,6.0,120.0,5.0,0.0,1.0
Zhang Z.,15.0,7.0,0.0,4.0,165.0,0.0,1.0,3.0
Zhang Ze,11.0,6.0,0.0,1.0,179.0,0.0,0.0,1.0
Zhang Ze.,2.0,2.0,0.0,0.0,179.0,0.0,0.0,0.0
Zhang Zh.,100.0,59.0,1.0,48.0,33.0,18.0,6.0,24.0
Zhou Y.,5.0,4.0,0.0,0.0,440.0,0.0,0.0,0.0
Zhukayev B.,7.0,6.0,0.0,2.0,213.0,0.0,0.0,2.0
Ziadi M.,4.0,2.0,0.0,0.0,613.0,0.0,0.0,0.0
Zib T.,47.0,33.0,0.0,12.0,51.0,5.0,2.0,5.0
Zimonjic N.,2.0,2.0,0.0,0.0,674.0,0.0,0.0,0.0
Zitko R.,1.0,1.0,0.0,0.0,487.0,0.0,0.0,0.0
Zopp J.,43.0,23.0,0.0,14.0,80.0,9.0,0.0,5.0
Zovko L.,5.0,4.0,0.0,2.0,759.0,0.0,0.0,2.0
Zuk K.,3.0,3.0,0.0,0.0,170.0,0.0,0.0,0.0
Zverev A.,599.0,103.0,35.0,421.0,2.0,142.0,38.0,241.0
Zverev A. ,4.0,2.0,0.0,2.0,7.0,0.0,0.0,2.0
Zverev M.,316.0,116.0,3.0,130.0,26.0,25.0,28.0,77.0
de Chaunac S.,7.0,7.0,0.0,0.0,254.0,0.0,0.0,0.0
de Voest R.,18.0,17.0,0.0,5.0,124.0,0.0,1.0,4.0
di Mauro A.,42.0,28.0,1.0,13.0,83.0,12.0,0.0,1.0
van Gemerden M.,5.0,5.0,0.0,2.0,106.0,1.0,1.0,0.0
van Lottum J.,1.0,1.0,0.0,0.0,493.0,0.0,0.0,0.0
van Scheppingen D.,2.0,2.0,0.0,1.0,278.0,0.0,0.0,1.0
