Unnamed: 0,total_matches,total_tournaments,total_finals,total_wins,best_rank,wins_clay,wins_grass,wins_hard,cluster
El Aynaoui Y.,18.0,12.0,0.0,9.0,189.0,5.0,0.0,4.0,1
Eleskovic E.,7.0,5.0,0.0,2.0,543.0,2.0,0.0,0.0,1
Elgin M.,7.0,3.0,0.0,2.0,145.0,0.0,0.0,2.0,1
Elias G.,64.0,41.0,0.0,22.0,61.0,19.0,0.0,3.0,1
Elseneer G.,2.0,2.0,0.0,0.0,177.0,0.0,0.0,0.0,1
Elsner D.,2.0,2.0,0.0,1.0,339.0,1.0,0.0,0.0,1
Emmrich M.,1.0,1.0,0.0,0.0,994.0,0.0,0.0,0.0,1
Engel J.,2.0,2.0,0.0,1.0,458.0,0.0,0.0,1.0,1
Enqvist T.,3.0,2.0,0.0,1.0,155.0,0.0,0.0,1.0,1
Eriksson M.,4.0,3.0,0.0,0.0,399.0,0.0,0.0,0.0,1
Erler A.,2.0,1.0,0.0,1.0,337.0,1.0,0.0,0.0,1
Eschauer W.,30.0,23.0,1.0,7.0,52.0,5.0,1.0,1.0,1
Escobar G.,2.0,2.0,0.0,0.0,364.0,0.0,0.0,0.0,1
Escobedo E.,58.0,33.0,0.0,19.0,75.0,3.0,2.0,14.0,1
Escoffier A.,1.0,1.0,0.0,0.0,172.0,0.0,0.0,0.0,1
Estrella Burgos V.,104.0,51.0,3.0,45.0,48.0,32.0,4.0,9.0,1
Estrella V.,1.0,1.0,0.0,0.0,243.0,0.0,0.0,0.0,1
Etcheverry T.,126.0,63.0,3.0,57.0,27.0,34.0,2.0,21.0,3
Eubanks C.,100.0,53.0,1.0,40.0,29.0,1.0,15.0,24.0,1
Evans B.,17.0,12.0,0.0,6.0,121.0,0.0,4.0,2.0,1
Evans D.,279.0,98.0,4.0,128.0,21.0,17.0,16.0,95.0,3
Eysseric J.,4.0,3.0,0.0,0.0,290.0,0.0,0.0,0.0,1
Fabbiano T.,87.0,55.0,0.0,25.0,70.0,5.0,8.0,12.0,1
Falla A.,229.0,91.0,2.0,84.0,52.0,19.0,15.0,50.0,3
Falla A. ,1.0,1.0,0.0,0.0,98.0,0.0,0.0,0.0,1
Fancutt T.,1.0,1.0,0.0,0.0,562.0,0.0,0.0,0.0,1
Fanselow S.,1.0,1.0,0.0,0.0,316.0,0.0,0.0,0.0,1
Farah R.,8.0,5.0,0.0,3.0,210.0,3.0,0.0,0.0,1
Faria J.,2.0,2.0,0.0,0.0,170.0,0.0,0.0,0.0,1
Faurel J.C.,8.0,8.0,0.0,2.0,175.0,0.0,0.0,2.0,1
Fearnley J.,5.0,5.0,0.0,2.0,99.0,0.0,1.0,1.0,1
Federer R.,979.0,73.0,115.0,830.0,1.0,148.0,131.0,551.0,2
Federer R. ,9.0,4.0,1.0,6.0,1.0,0.0,0.0,6.0,1
Ferreira Silva F.,2.0,2.0,0.0,0.0,185.0,0.0,0.0,0.0,1
Ferreiro F.,4.0,3.0,0.0,2.0,192.0,2.0,0.0,0.0,1
Ferrer D.,874.0,140.0,48.0,594.0,3.0,237.0,38.0,319.0,2
Ferrer D. ,1.0,1.0,0.0,1.0,18.0,0.0,0.0,1.0,1
Ferrero J.C.,301.0,95.0,11.0,178.0,14.0,98.0,15.0,65.0,3
Ferrero J.C. ,1.0,1.0,0.0,0.0,22.0,0.0,0.0,0.0,1
Fery A.,2.0,2.0,0.0,0.0,247.0,0.0,0.0,0.0,1
Ficovich J.P.,3.0,2.0,0.0,1.0,244.0,1.0,0.0,0.0,1
Fidirko N.,1.0,1.0,0.0,0.0,934.0,0.0,0.0,0.0,1
Fils A.,89.0,47.0,4.0,50.0,20.0,16.0,5.0,29.0,1
Fischer M.,21.0,17.0,0.0,2.0,122.0,1.0,1.0,0.0,1
Fish A.,1.0,1.0,0.0,0.0,56.0,0.0,0.0,0.0,1
Fish M.,323.0,86.0,12.0,198.0,7.0,19.0,27.0,152.0,3
Fleishman Z.,15.0,10.0,0.0,5.0,141.0,0.0,0.0,5.0,1
Fleming C.,2.0,1.0,0.0,0.0,110.0,0.0,0.0,0.0,1
Fognini F.,746.0,167.0,19.0,384.0,9.0,222.0,24.0,138.0,2
Fonseca J.,12.0,9.0,0.0,5.0,217.0,5.0,0.0,0.0,1
Forbes M.,1.0,1.0,0.0,0.0,1848.0,0.0,0.0,0.0,1
Forejtek J.,2.0,1.0,0.0,1.0,399.0,0.0,0.0,1.0,1
Fornell M.,1.0,1.0,0.0,0.0,284.0,0.0,0.0,0.0,1
Fraile G.,6.0,6.0,0.0,0.0,135.0,0.0,0.0,0.0,1
Fratangelo B.,61.0,34.0,0.0,21.0,103.0,5.0,3.0,13.0,1
Friberg K.,1.0,1.0,0.0,0.0,433.0,0.0,0.0,0.0,1
Fritz T.,433.0,104.0,16.0,256.0,5.0,46.0,32.0,178.0,3
Fruttero J.P.,1.0,1.0,0.0,0.0,205.0,0.0,0.0,0.0,1
Fucsovics M.,276.0,97.0,4.0,135.0,35.0,38.0,15.0,82.0,3
Furness E.,1.0,1.0,0.0,0.0,208.0,0.0,0.0,0.0,1
Fyrstenberg M.,2.0,2.0,0.0,0.0,1469.0,0.0,0.0,0.0,1
Gabashvili T.,287.0,125.0,0.0,102.0,44.0,41.0,6.0,55.0,3
Gaio F.,18.0,14.0,0.0,3.0,124.0,3.0,0.0,0.0,1
Gakhov I.,4.0,4.0,0.0,1.0,198.0,1.0,0.0,0.0,1
Galan D.,3.0,2.0,0.0,2.0,153.0,2.0,0.0,0.0,1
Galan D.E.,104.0,54.0,0.0,40.0,56.0,21.0,5.0,14.0,1
Galarneau A.,2.0,1.0,0.0,0.0,192.0,0.0,0.0,0.0,1
Galdon P.,1.0,1.0,0.0,0.0,305.0,0.0,0.0,0.0,1
Galimberti G.,2.0,2.0,0.0,1.0,189.0,0.0,0.0,1.0,1
Gallardo Valles M.,1.0,1.0,0.0,0.0,346.0,0.0,0.0,0.0,1
Galovic V.,7.0,5.0,0.0,2.0,197.0,2.0,0.0,0.0,1
Galvani S.,27.0,19.0,0.0,8.0,102.0,3.0,2.0,3.0,1
Gambill J.M.,8.0,6.0,0.0,3.0,150.0,0.0,0.0,3.0,1
Gao X.,1.0,1.0,0.0,0.0,944.0,0.0,0.0,0.0,1
Garanganga T.,1.0,1.0,0.0,0.0,451.0,0.0,0.0,0.0,1
Garcia A.,7.0,6.0,0.0,0.0,126.0,0.0,0.0,0.0,1
Garcia-Lopez G.,584.0,176.0,9.0,263.0,24.0,118.0,25.0,120.0,3
Garcia-Lopez G. ,3.0,2.0,0.0,2.0,47.0,0.0,0.0,2.0,1
Gard C.,1.0,1.0,0.0,0.0,250.0,0.0,0.0,0.0,1
Garin C.,209.0,84.0,6.0,113.0,17.0,77.0,9.0,27.0,3
Garza D.,4.0,1.0,0.0,0.0,328.0,0.0,0.0,0.0,1
Gasquet R.,875.0,170.0,28.0,532.0,7.0,136.0,62.0,334.0,2
Gasquet R. ,3.0,2.0,0.0,2.0,57.0,0.0,0.0,2.0,1
Gaston H.,90.0,45.0,2.0,38.0,58.0,18.0,3.0,17.0,1
Gaudio G.,101.0,52.0,3.0,50.0,8.0,37.0,1.0,12.0,1
Geerts M.,1.0,1.0,0.0,0.0,268.0,0.0,0.0,0.0,1
Gensse A.,4.0,3.0,0.0,1.0,433.0,1.0,0.0,0.0,1
Gerasimov E.,95.0,49.0,1.0,44.0,72.0,3.0,2.0,39.0,1
Ghedin R.,3.0,3.0,0.0,0.0,319.0,0.0,0.0,0.0,1
Ghem A.,7.0,6.0,0.0,2.0,260.0,2.0,0.0,0.0,1
Giannessi A.,35.0,25.0,0.0,12.0,104.0,11.0,0.0,1.0,1
Gicquel M.,188.0,75.0,3.0,86.0,39.0,25.0,10.0,51.0,3
Gigante M.,2.0,2.0,0.0,1.0,139.0,1.0,0.0,0.0,1
Gigounon G.,1.0,1.0,0.0,0.0,209.0,0.0,0.0,0.0,1
Gil F.,112.0,54.0,1.0,47.0,62.0,32.0,1.0,14.0,1
Gimelstob J.,53.0,37.0,1.0,18.0,73.0,2.0,6.0,10.0,1
Gimeno Valero C.,1.0,1.0,0.0,0.0,369.0,0.0,0.0,0.0,1
Gimeno-Traver D.,247.0,108.0,1.0,85.0,44.0,66.0,2.0,17.0,3
Gimeno-Traver D. ,1.0,1.0,0.0,0.0,77.0,0.0,0.0,0.0,1
Ginepri R.,233.0,82.0,1.0,115.0,16.0,11.0,8.0,96.0,3
Giraldo S.,312.0,122.0,2.0,132.0,28.0,69.0,12.0,51.0,3
Giron M.,217.0,86.0,3.0,100.0,37.0,15.0,16.0,69.0,3
Giustino L.,8.0,8.0,0.0,1.0,157.0,1.0,0.0,0.0,1
Goffin D.,536.0,123.0,15.0,302.0,7.0,83.0,29.0,190.0,2
Gojo B.,24.0,20.0,0.0,8.0,72.0,1.0,0.0,7.0,1
Gojowczyk P.,164.0,72.0,3.0,73.0,39.0,7.0,12.0,54.0,3
Golding O.,3.0,3.0,0.0,0.0,491.0,0.0,0.0,0.0,1
Goldstein P.,72.0,41.0,0.0,32.0,58.0,4.0,4.0,24.0,1
Golubev A.,150.0,77.0,3.0,48.0,33.0,16.0,1.0,31.0,3
Gombos N.,66.0,40.0,0.0,21.0,81.0,9.0,0.0,12.0,1
Gomez A.,2.0,1.0,0.0,1.0,698.0,1.0,0.0,0.0,1
Gomez E.,26.0,21.0,0.0,7.0,90.0,2.0,0.0,5.0,1
Gomez F.,3.0,3.0,0.0,1.0,174.0,0.0,0.0,1.0,1
Gomez L.,6.0,4.0,0.0,0.0,492.0,0.0,0.0,0.0,1
Gomez-Herrera C.,1.0,1.0,0.0,0.0,671.0,0.0,0.0,0.0,1
Gong M.X.,4.0,2.0,0.0,0.0,356.0,0.0,0.0,0.0,1
Gonzalez A.,44.0,32.0,0.0,10.0,74.0,5.0,0.0,5.0,1
Gonzalez F.,277.0,77.0,10.0,184.0,5.0,68.0,15.0,101.0,3
Gonzalez F. ,1.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,1
Gonzalez M.,85.0,48.0,0.0,28.0,62.0,25.0,0.0,3.0,1
Gonzalez S.,8.0,4.0,0.0,1.0,168.0,1.0,0.0,0.0,1
Goodall J.,10.0,8.0,0.0,1.0,201.0,0.0,1.0,0.0,1
Goransson T.,2.0,2.0,0.0,0.0,800.0,0.0,0.0,0.0,1
Granollers G.,1.0,1.0,0.0,0.0,280.0,0.0,0.0,0.0,1
Granollers M.,419.0,144.0,7.0,186.0,20.0,92.0,15.0,79.0,3
Granollers M. ,1.0,1.0,0.0,0.0,82.0,0.0,0.0,0.0,1
Granollers Pujol G.,1.0,1.0,0.0,0.0,331.0,0.0,0.0,0.0,1
Granollers-Pujol G.,2.0,1.0,0.0,0.0,265.0,0.0,0.0,0.0,1
Granollers-Pujol M.,1.0,1.0,0.0,0.0,291.0,0.0,0.0,0.0,1
Gray A.,3.0,2.0,0.0,1.0,288.0,0.0,1.0,0.0,1
Gregorc L.,11.0,6.0,0.0,6.0,434.0,0.0,0.0,6.0,1
Gremelmayr D.,79.0,49.0,0.0,28.0,66.0,11.0,2.0,15.0,1
Grenier H.,23.0,20.0,0.0,7.0,116.0,2.0,1.0,4.0,1
Greul S.,113.0,67.0,0.0,43.0,58.0,20.0,3.0,20.0,1
Greul S. ,1.0,1.0,0.0,0.0,56.0,0.0,0.0,0.0,1
Griekspoor T.,154.0,66.0,3.0,78.0,23.0,15.0,16.0,47.0,3
Grigelis L.,1.0,1.0,0.0,0.0,243.0,0.0,0.0,0.0,1
Grosjean S.,122.0,55.0,1.0,57.0,18.0,8.0,8.0,41.0,1
Groth S.,89.0,44.0,0.0,33.0,53.0,2.0,12.0,19.0,1
Guccione A.,3.0,2.0,0.0,1.0,92.0,0.0,1.0,0.0,1
Guccione C.,72.0,41.0,2.0,25.0,86.0,0.0,2.0,23.0,1
Guez D.,17.0,11.0,0.0,2.0,133.0,0.0,0.0,2.0,1
Guinard M.,9.0,8.0,0.0,3.0,146.0,2.0,0.0,1.0,1
Gulbis E.,434.0,133.0,7.0,211.0,10.0,63.0,14.0,134.0,3
Gunneswaran P.,28.0,20.0,0.0,7.0,84.0,0.0,2.0,5.0,1
Gutierrez-Ferrol S.,4.0,2.0,0.0,2.0,544.0,2.0,0.0,0.0,1
Guzman J.,1.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1
Guzman J.P.,13.0,10.0,0.0,4.0,103.0,4.0,0.0,0.0,1
Haas T.,390.0,103.0,12.0,245.0,9.0,48.0,33.0,164.0,3
Haase R.,441.0,134.0,5.0,194.0,36.0,73.0,22.0,99.0,3
Hadad A.,3.0,3.0,0.0,1.0,344.0,0.0,0.0,1.0,1
Haehnel J.,7.0,7.0,0.0,0.0,142.0,0.0,0.0,0.0,1
Haider-Mauer A.,3.0,3.0,0.0,1.0,254.0,1.0,0.0,0.0,1
Haider-Maurer A.,103.0,61.0,1.0,37.0,47.0,22.0,4.0,11.0,1
Hajek J.,87.0,53.0,0.0,24.0,75.0,17.0,0.0,7.0,1
Halebian A.,1.0,1.0,0.0,0.0,644.0,0.0,0.0,0.0,1
Halys Q.,95.0,54.0,1.0,34.0,62.0,9.0,6.0,19.0,1
Hamou M.,3.0,3.0,0.0,0.0,225.0,0.0,0.0,0.0,1
Hanescu V.,296.0,113.0,5.0,130.0,27.0,85.0,6.0,39.0,3
Hanescu V. ,1.0,1.0,0.0,0.0,36.0,0.0,0.0,0.0,1
Hanfmann Y.,144.0,65.0,2.0,68.0,46.0,46.0,7.0,15.0,3
Hank T.,3.0,2.0,0.0,0.0,446.0,0.0,0.0,0.0,1
Hardt N.,2.0,1.0,0.0,1.0,229.0,1.0,0.0,0.0,1
Harris A.,3.0,2.0,0.0,1.0,162.0,0.0,0.0,1.0,1
Harris B.,14.0,9.0,0.0,7.0,114.0,0.0,6.0,1.0,1
Harris L.,132.0,67.0,2.0,60.0,31.0,6.0,8.0,46.0,3
Harrison C.,14.0,11.0,0.0,6.0,198.0,0.0,2.0,4.0,1
Harrison R.,262.0,84.0,4.0,109.0,41.0,12.0,12.0,85.0,3
Hartfield D.,44.0,28.0,0.0,16.0,73.0,13.0,0.0,3.0,1
Hassan B.,4.0,4.0,0.0,0.0,161.0,0.0,0.0,0.0,1
Healey N.,12.0,8.0,0.0,4.0,163.0,0.0,1.0,3.0,1
Heide G.,5.0,4.0,0.0,2.0,174.0,2.0,0.0,0.0,1
Hemery C.,11.0,9.0,0.0,2.0,127.0,2.0,0.0,0.0,1
Henman T.,77.0,46.0,1.0,38.0,12.0,3.0,7.0,28.0,1
Herbert P-H.,1.0,1.0,0.0,0.0,131.0,0.0,0.0,0.0,1
Herbert P.H,15.0,10.0,1.0,8.0,95.0,1.0,0.0,7.0,1
Herbert P.H.,206.0,81.0,3.0,89.0,36.0,16.0,12.0,61.0,3
Hernandez A.,2.0,2.0,0.0,0.0,521.0,0.0,0.0,0.0,1
Hernandez O.,138.0,70.0,0.0,49.0,48.0,43.0,1.0,5.0,3
Hernandez-Fernandez J,1.0,1.0,0.0,0.0,266.0,0.0,0.0,0.0,1
Hernandez-Fernandez J.,1.0,1.0,0.0,0.0,250.0,0.0,0.0,0.0,1
Hernych J.,136.0,70.0,1.0,53.0,60.0,10.0,14.0,29.0,3
Hernych J. ,2.0,2.0,0.0,1.0,59.0,0.0,0.0,1.0,1
Heuberger I.,2.0,2.0,0.0,0.0,183.0,0.0,0.0,0.0,1
Hewitt L.,331.0,89.0,10.0,202.0,3.0,30.0,53.0,119.0,3
Hijikata R.,60.0,38.0,0.0,25.0,65.0,1.0,6.0,18.0,1
Hoang A.,19.0,13.0,0.0,6.0,104.0,2.0,1.0,3.0,1
Hocevar R.,5.0,5.0,0.0,0.0,170.0,0.0,0.0,0.0,1
Holmgren A.,1.0,1.0,0.0,0.0,901.0,0.0,0.0,0.0,1
Holt B.,9.0,8.0,0.0,2.0,195.0,0.0,0.0,2.0,1
Hong S.,5.0,4.0,0.0,2.0,175.0,0.0,0.0,2.0,1
Horansky F.,8.0,8.0,0.0,1.0,164.0,1.0,0.0,0.0,1
Horna L.,106.0,59.0,2.0,49.0,43.0,36.0,0.0,13.0,1
Hossam K.,1.0,1.0,0.0,0.0,338.0,0.0,0.0,0.0,1
Hrbaty D.,129.0,63.0,1.0,60.0,17.0,8.0,1.0,51.0,1
Hsu Y.,6.0,4.0,0.0,3.0,184.0,0.0,0.0,3.0,1
Huesler M.A.,68.0,46.0,1.0,24.0,47.0,8.0,2.0,14.0,1
Humbert U.,243.0,88.0,8.0,127.0,13.0,13.0,24.0,90.0,3
Hurkacz H.,312.0,85.0,11.0,190.0,6.0,35.0,25.0,130.0,3
Hussey G.,2.0,2.0,0.0,1.0,359.0,0.0,1.0,0.0,1
Huta Galung J.,28.0,21.0,0.0,3.0,92.0,0.0,1.0,2.0,1
Ianni S.,1.0,1.0,0.0,0.0,559.0,0.0,0.0,0.0,1
Idmbarek Y.,2.0,2.0,0.0,0.0,1064.0,0.0,0.0,0.0,1
Ignatik U.,1.0,1.0,0.0,0.0,421.0,0.0,0.0,0.0,1
Ilhan M.,70.0,48.0,0.0,16.0,77.0,4.0,3.0,9.0,1
Ilkel C.,20.0,12.0,0.0,3.0,188.0,0.0,0.0,3.0,1
Inglot D.,1.0,1.0,0.0,0.0,941.0,0.0,0.0,0.0,1
Ionita V.,2.0,2.0,0.0,0.0,271.0,0.0,0.0,0.0,1
Isner J.,748.0,124.0,31.0,464.0,9.0,75.0,51.0,338.0,2
Isner J. ,2.0,1.0,0.0,1.0,40.0,0.0,0.0,1.0,1
Istomin D.,412.0,139.0,4.0,185.0,33.0,38.0,33.0,114.0,3
Ito T.,81.0,46.0,0.0,27.0,63.0,3.0,8.0,16.0,1
Ito Y.,1.0,1.0,0.0,0.0,622.0,0.0,0.0,0.0,1
Ittogi T.,1.0,1.0,0.0,0.0,1511.0,0.0,0.0,0.0,1
Ivashka I.,156.0,72.0,1.0,75.0,42.0,13.0,12.0,50.0,3
Iwabuchi S.,6.0,4.0,0.0,2.0,339.0,0.0,0.0,2.0,1
Iwami T.,1.0,1.0,0.0,0.0,557.0,0.0,0.0,0.0,1
Jacquet K.,1.0,1.0,0.0,0.0,209.0,0.0,0.0,0.0,1
Janowicz J.,158.0,63.0,2.0,77.0,14.0,13.0,15.0,49.0,3
Janvier M.,6.0,5.0,0.0,0.0,190.0,0.0,0.0,0.0,1
Jarry N.,192.0,81.0,7.0,96.0,18.0,58.0,8.0,30.0,3
Jasika O.,5.0,3.0,0.0,1.0,290.0,0.0,0.0,1.0,1
Jaziri M.,208.0,80.0,1.0,80.0,44.0,21.0,7.0,52.0,3
Jelenic P.,2.0,2.0,0.0,1.0,544.0,0.0,0.0,1.0,1
Jenkins S.,17.0,9.0,0.0,5.0,196.0,2.0,1.0,2.0,1
Jeong S.Y.,1.0,1.0,0.0,0.0,332.0,0.0,0.0,0.0,1
Johansson J.,21.0,7.0,0.0,13.0,14.0,0.0,0.0,13.0,1
Johansson T.,118.0,57.0,3.0,54.0,13.0,5.0,1.0,48.0,1
Johnson S.,386.0,98.0,6.0,187.0,21.0,34.0,34.0,119.0,3
Jones A.,7.0,6.0,0.0,2.0,137.0,0.0,0.0,2.0,1
Jones G.,7.0,6.0,0.0,1.0,198.0,0.0,0.0,1.0,1
Jones G.D.,1.0,1.0,0.0,0.0,1214.0,0.0,0.0,0.0,1
Jorda Sanchis D.,2.0,1.0,0.0,1.0,329.0,1.0,0.0,0.0,1
Jouan R.,5.0,4.0,0.0,1.0,274.0,0.0,0.0,1.0,1
Jubb P.,9.0,6.0,0.0,3.0,201.0,0.0,3.0,0.0,1
Jun W.,1.0,1.0,0.0,0.0,360.0,0.0,0.0,0.0,1
Jun W.S.,6.0,5.0,0.0,1.0,293.0,0.0,0.0,1.0,1
Junaid R.,2.0,2.0,0.0,0.0,413.0,0.0,0.0,0.0,1
Jung J.,30.0,19.0,0.0,10.0,127.0,0.0,4.0,6.0,1
Junqueira D.,39.0,31.0,0.0,10.0,68.0,9.0,0.0,1.0,1
Kachmazov A.,9.0,6.0,0.0,4.0,252.0,0.0,0.0,4.0,1
Kadhe A.,4.0,2.0,0.0,0.0,392.0,0.0,0.0,0.0,1
Kamke T.,160.0,72.0,0.0,61.0,65.0,16.0,10.0,35.0,3
Karanusic R.,39.0,27.0,0.0,10.0,92.0,1.0,4.0,5.0,1
Karatsev A.,158.0,77.0,5.0,76.0,15.0,22.0,4.0,50.0,3
Karlovic I.,582.0,148.0,18.0,313.0,14.0,56.0,58.0,199.0,2
Karlovic I. ,1.0,1.0,0.0,0.0,38.0,0.0,0.0,0.0,1
Karlovskiy E.,1.0,1.0,0.0,0.0,218.0,0.0,0.0,0.0,1
Kasnikowski M.,1.0,1.0,0.0,0.0,194.0,0.0,0.0,0.0,1
Kavcic B.,112.0,62.0,0.0,35.0,71.0,16.0,2.0,17.0,1
Kecmanovic M.,267.0,113.0,4.0,131.0,28.0,39.0,15.0,77.0,3
Kendrick R.,85.0,48.0,0.0,25.0,74.0,1.0,4.0,20.0,1
Kern R.,3.0,1.0,0.0,0.0,392.0,0.0,0.0,0.0,1
Khachanov K.,444.0,101.0,9.0,255.0,8.0,66.0,22.0,167.0,3
Khaddari H.,1.0,1.0,0.0,0.0,513.0,0.0,0.0,0.0,1
Khalfan S.,1.0,1.0,0.0,0.0,1116.0,0.0,0.0,0.0,1
Kicker N.,45.0,31.0,0.0,18.0,86.0,14.0,0.0,4.0,1
Kiefer N.,131.0,57.0,3.0,80.0,11.0,18.0,8.0,54.0,3
Kim K,1.0,1.0,0.0,0.0,181.0,0.0,0.0,0.0,1
Kim K.,83.0,49.0,0.0,21.0,70.0,1.0,1.0,19.0,1
Kimmich M.,1.0,1.0,0.0,0.0,313.0,0.0,0.0,0.0,1
Kindlmann D.,10.0,8.0,0.0,1.0,162.0,1.0,0.0,0.0,1
King D.,12.0,8.0,0.0,3.0,168.0,0.0,0.0,3.0,1
King E.,4.0,4.0,0.0,1.0,347.0,0.0,0.0,1.0,1
King K.,7.0,6.0,0.0,1.0,304.0,0.0,0.0,1.0,1
King P.,4.0,4.0,0.0,1.0,360.0,0.0,0.0,1.0,1
King-Turner D.,5.0,2.0,0.0,0.0,263.0,0.0,0.0,0.0,1
Kirchheimer S.,2.0,1.0,0.0,0.0,416.0,0.0,0.0,0.0,1
Kirillov E.,2.0,2.0,0.0,0.0,378.0,0.0,0.0,0.0,1
Kirkin E.,2.0,1.0,0.0,0.0,446.0,0.0,0.0,0.0,1
Klaasen R.,8.0,4.0,0.0,4.0,307.0,0.0,2.0,2.0,1
Klahn B.,56.0,39.0,0.0,13.0,63.0,0.0,2.0,11.0,1
Klec I.,6.0,5.0,0.0,1.0,224.0,0.0,0.0,1.0,1
Klein B.,13.0,10.0,0.0,3.0,177.0,0.0,1.0,2.0,1
Klein L.,24.0,16.0,0.0,10.0,118.0,3.0,1.0,6.0,1
Klizan M.,252.0,102.0,7.0,121.0,28.0,63.0,4.0,54.0,3
Kloer S.,1.0,1.0,0.0,0.0,495.0,0.0,0.0,0.0,1
Knittel B.,5.0,4.0,0.0,1.0,187.0,1.0,0.0,0.0,1
Koellerer D.,45.0,28.0,0.0,17.0,36.0,10.0,0.0,7.0,1
Koellerer D. ,1.0,1.0,0.0,0.0,74.0,0.0,0.0,0.0,1
Koepfer D.,120.0,54.0,0.0,52.0,49.0,17.0,4.0,31.0,1
Kohlmann M.,1.0,1.0,0.0,0.0,1494.0,0.0,0.0,0.0,1
Kohlschreiber P.,727.0,128.0,17.0,410.0,18.0,152.0,53.0,205.0,2
Kohlschreiber P. ,1.0,1.0,0.0,0.0,26.0,0.0,0.0,0.0,1
Kohlschreiber P..,1.0,1.0,0.0,1.0,24.0,0.0,0.0,1.0,1
Kokkinakis T.,147.0,62.0,2.0,67.0,65.0,8.0,5.0,54.0,3
Kolar Z.,4.0,4.0,0.0,1.0,134.0,1.0,0.0,0.0,1
Kondo H.,1.0,1.0,0.0,0.0,589.0,0.0,0.0,0.0,1
Koning M.,1.0,1.0,0.0,0.0,793.0,0.0,0.0,0.0,1
Kontinen H.,3.0,2.0,0.0,1.0,253.0,0.0,1.0,0.0,1
Kopriva V.,16.0,11.0,0.0,5.0,112.0,4.0,0.0,1.0,1
Korda S.,191.0,73.0,8.0,116.0,18.0,23.0,16.0,77.0,3
Korolev E.,146.0,77.0,1.0,61.0,50.0,20.0,2.0,39.0,3
Korolev E. ,3.0,2.0,0.0,2.0,58.0,0.0,0.0,2.0,1
Korteling S.,1.0,1.0,0.0,0.0,463.0,0.0,0.0,0.0,1
Kosakowski D.,3.0,3.0,0.0,1.0,482.0,0.0,0.0,1.0,1
Kotov P.,78.0,42.0,1.0,35.0,53.0,17.0,2.0,16.0,1
Koubek S.,114.0,57.0,2.0,51.0,47.0,11.0,1.0,39.0,1
Kovacevic A.,48.0,31.0,0.0,16.0,76.0,1.0,2.0,13.0,1
Kovalik J.,72.0,45.0,0.0,26.0,102.0,17.0,0.0,9.0,1
Kozlov S.,34.0,22.0,0.0,9.0,104.0,0.0,5.0,4.0,1
Krajan Z.,1.0,1.0,0.0,0.0,681.0,0.0,0.0,0.0,1
Krajicek A.,35.0,25.0,0.0,11.0,103.0,0.0,1.0,10.0,1
Krajinovic F.,230.0,84.0,5.0,110.0,26.0,33.0,5.0,72.0,3
Kratochvil M.,1.0,1.0,0.0,0.0,1511.0,0.0,0.0,0.0,1
Kravchuk K.,32.0,25.0,0.0,7.0,79.0,2.0,1.0,4.0,1
Krawietz K.,4.0,4.0,0.0,1.0,277.0,0.0,1.0,0.0,1
Krstin P.,5.0,4.0,0.0,1.0,195.0,1.0,0.0,0.0,1
Krueger M.,30.0,15.0,0.0,8.0,140.0,0.0,1.0,7.0,1
Krutykh O.,3.0,3.0,0.0,0.0,188.0,0.0,0.0,0.0,1
Kubler J.,52.0,29.0,0.0,22.0,66.0,7.0,7.0,8.0,1
Kubot L.,194.0,91.0,2.0,77.0,41.0,33.0,12.0,32.0,3
Kucera K.,4.0,3.0,0.0,2.0,141.0,0.0,1.0,1.0,1
Kudla D.,201.0,77.0,0.0,70.0,56.0,6.0,26.0,38.0,3
Kudryavtsev A.,19.0,14.0,0.0,5.0,60.0,0.0,0.0,5.0,1
Kuerten G.,16.0,12.0,0.0,2.0,287.0,1.0,0.0,1.0,1
Kuhn N.,10.0,9.0,0.0,2.0,211.0,1.0,0.0,1.0,1
Kukushkin M.,336.0,122.0,4.0,137.0,40.0,25.0,14.0,98.0,3
Kumantsov A.,1.0,1.0,0.0,0.0,365.0,0.0,0.0,0.0,1
Kumar O.,5.0,2.0,0.0,2.0,385.0,0.0,0.0,2.0,1
Kunitsyn I.,216.0,94.0,1.0,77.0,36.0,8.0,10.0,59.0,3
Kunitsyn I. ,1.0,1.0,0.0,0.0,81.0,0.0,0.0,0.0,1
Kutac R.,1.0,1.0,0.0,0.0,638.0,0.0,0.0,0.0,1
Kutrovsky D.,3.0,2.0,0.0,2.0,438.0,0.0,0.0,2.0,1
Kuzmanov D.,11.0,6.0,0.0,2.0,189.0,1.0,0.0,1.0,1
Kuznetsov A.,23.0,17.0,0.0,5.0,162.0,1.0,1.0,3.0,1
Kuznetsov Al.,21.0,14.0,0.0,5.0,127.0,1.0,1.0,3.0,1
Kuznetsov An.,154.0,75.0,0.0,63.0,40.0,27.0,6.0,30.0,3
Kwiatkowski T.S.,7.0,6.0,0.0,0.0,206.0,0.0,0.0,0.0,1
Kwon S.W.,116.0,57.0,2.0,55.0,53.0,7.0,3.0,45.0,1
Kym J.,1.0,1.0,0.0,0.0,140.0,0.0,0.0,0.0,1
Kypson P.,9.0,7.0,0.0,3.0,17.0,0.0,0.0,3.0,1
